Entry	yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD0155CE6	Gene ontology IDs	Gene names
O94697	2540215	GO:0000790; GO:0003689; GO:0005634; GO:0005663; GO:0005829; GO:0006261; GO:0006271; GO:0031389; GO:0031390; GO:0031391; GO:0043599; GO:0061860; GO:0070914	rfc5 SPBC83.14c
A0A0S2Z3G5	843	GO:0042981; GO:0097199	CASP10 hCG_16984
A0A0S2Z3Z5	843	GO:0042981; GO:0097199	CASP10
Q92851	843	GO:0004197; GO:0005737; GO:0005829; GO:0006915; GO:0006919; GO:0007166; GO:0031265; GO:0031625; GO:0035877; GO:0042981; GO:0043123; GO:0097153; GO:0097190; GO:0097194; GO:0097199; GO:0097342	CASP10 MCH4
P32494	851756	GO:0000124; GO:0003713; GO:0005671; GO:0006325; GO:0006357; GO:0016573; GO:0043966; GO:0043967; GO:0046695	NGG1 ADA3 SWI7 YDR176W YD9395.09
Q03722	854988		YML020W
P38910	854185	GO:0005524; GO:0005759; GO:0006457; GO:0042026; GO:0045041; GO:0046872; GO:0051082; GO:0051085; GO:0051087; GO:0051131	HSP10 CPN10 YOR020C OR26.10
Q04149	851994	GO:0000712; GO:0000727; GO:0003677; GO:0004857; GO:0005634; GO:0006265; GO:0006281; GO:0006974; GO:0007131; GO:0031573; GO:0046872; GO:0048257; GO:0048476; GO:0051097	MUS81 SLX3 YDR386W D9509.6
Q02792	854213	GO:0000448; GO:0004534; GO:0005634; GO:0006364; GO:0006397; GO:0019843; GO:0030846; GO:0030847; GO:0034244; GO:0043144; GO:0071028; GO:0071035; GO:1901408	RAT1 HKE1 TAP1 YOR048C
P32338	852935	GO:0000122; GO:0000978; GO:0000981; GO:0005634; GO:0036095; GO:0045835; GO:0045944; GO:0046872; GO:0051038; GO:0051301; GO:0071931	RME1 YGR044C
P38246	852368	GO:0071555	ECM8 YBR076W YBR0722
P25296	853644	GO:0000754; GO:0005509; GO:0005955; GO:0006470; GO:0006873; GO:0031505	CNB1 YCN2 YCNB YKL190W
P47063	853426		YJL027C J1269
P40015	856739	GO:0005739; GO:0005783; GO:0009651; GO:0030149; GO:0031307; GO:0046513; GO:0046872; GO:0052712	ISC1 YER019W
P26309	852762	GO:0005680; GO:0007094; GO:0010997; GO:0031145; GO:0033597; GO:0034399; GO:0040020; GO:0045842; GO:0051301; GO:1904668; GO:1905786; GO:1990757	CDC20 YGL116W
Q03430	852105	GO:0003735; GO:0005763; GO:0032543; GO:0070124	RSM28 YDR494W
P38915	850744	GO:0000122; GO:0000124; GO:0003712; GO:0006325; GO:0016573; GO:0017025; GO:0045944	SPT8 YLR055C L2144
Q12071	851591	GO:0000938; GO:0005794; GO:0005829; GO:0006896; GO:0010008; GO:0015031; GO:0019905; GO:0030476; GO:0031966; GO:0042147; GO:0090156	VPS54 CGP1 LUV1 RKI1 TCS3 YDR027C PZF889 YD9813.05C
O13769	2542268	GO:0005634; GO:0010494; GO:0016926; GO:0070140; GO:0070647; GO:2000765	ulp2 SPAC17A5.07c
P87057	2542878	GO:0000790; GO:0003677; GO:0005634; GO:0005829; GO:0006281; GO:0006334; GO:0006338; GO:0006357; GO:0008134; GO:0008301; GO:0045944	nhp6 SPAC57A10.09c
Q8TGT0	1466496		YML100W-A
P07249	855059	GO:0000982; GO:0000987; GO:0005634; GO:0006525; GO:0007275; GO:0008134; GO:0043565; GO:0044212; GO:0045944; GO:0046983; GO:1900079; GO:1900081	ARG80 ARGR1 YMR042W YM9532.07
