Entry	yourlist:M2018111714483A1C7ED25EE8374758DF3FD545FD01369DP	Gene ontology IDs
P22518	12747	GO:0004674; GO:0004712; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0018105; GO:0018107; GO:0018108; GO:0043484; GO:0046777
A0A024R843	22954	GO:0000209; GO:0001894; GO:0003723; GO:0005634; GO:0005863; GO:0007014; GO:0008270; GO:0009411; GO:0017022; GO:0031369; GO:0034612; GO:0045444; GO:0045666; GO:0045732; GO:0046716; GO:0048147; GO:0051092; GO:0051155; GO:0061564; GO:0061630; GO:1903265; GO:1903883; GO:1903886; GO:2000147
Q13049	22954	GO:0000209; GO:0001894; GO:0003713; GO:0003723; GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0005863; GO:0006511; GO:0007014; GO:0008270; GO:0009411; GO:0016567; GO:0017022; GO:0030307; GO:0030335; GO:0030957; GO:0031369; GO:0032479; GO:0032897; GO:0034612; GO:0042802; GO:0043123; GO:0043130; GO:0043621; GO:0045087; GO:0045444; GO:0045666; GO:0045732; GO:0045787; GO:0045862; GO:0046716; GO:0048147; GO:0050769; GO:0051091; GO:0051092; GO:0051155; GO:0061564; GO:0061630; GO:0070936; GO:1902187; GO:1902230; GO:1903265; GO:1903883; GO:1903886; GO:2000147
P46679	855075	GO:0070822
A0A0A0MR33	2954	
A0A0C4DFM0	2954	GO:0005739; GO:0009072; GO:0016740; GO:0016853
O43708	2954	GO:0004364; GO:0004602; GO:0005739; GO:0005759; GO:0005829; GO:0006559; GO:0006572; GO:0006749; GO:0010510; GO:0016034; GO:0019120; GO:0042802; GO:0042803; GO:1901687
Q16630	11052	GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005726; GO:0005737; GO:0005847; GO:0005849; GO:0006397; GO:0016020; GO:0016607; GO:0035061; GO:0042382; GO:0043023; GO:0046833; GO:0051262; GO:0051290; GO:0098789; GO:0110104; GO:1990120; GO:1990448; GO:1990904
P36523	851022	GO:0003735; GO:0004525; GO:0005762; GO:0006396; GO:0032543
P11325	851098	GO:0000372; GO:0002161; GO:0003729; GO:0004823; GO:0005524; GO:0005739; GO:0005759; GO:0006429; GO:0032543
P12685	853312	GO:0005886; GO:0005887; GO:0008324; GO:0015079; GO:0030007; GO:0045121; GO:0140107; GO:1990573
P07834	850539	GO:0000082; GO:0000086; GO:0000462; GO:0005634; GO:0006511; GO:0016363; GO:0016567; GO:0019005; GO:0030435; GO:0030515; GO:0031146; GO:0032040; GO:0034388; GO:0043130; GO:0043224; GO:0050815; GO:0051301; GO:0051321
P38219	852313	GO:0005524; GO:0005525; GO:0005737; GO:0016887; GO:0043022; GO:0043023; GO:0046872
P40523	854756	
P23180	856365	GO:0005739; GO:0007005; GO:0016702; GO:0045329; GO:0046872
Q01852	854790	GO:0001405; GO:0005524; GO:0005743; GO:0005744; GO:0030150; GO:0030674; GO:0031314; GO:0051087
P32521	854822	GO:0000147; GO:0003779; GO:0005509; GO:0005634; GO:0005737; GO:0005886; GO:0006897; GO:0007120; GO:0007121; GO:0010008; GO:0030479; GO:0030674; GO:2000601
Q01846	854867	GO:0000001; GO:0005737; GO:0032266; GO:0048310; GO:0071561; GO:1990854
Q12071	851591	GO:0000938; GO:0005794; GO:0005829; GO:0006896; GO:0010008; GO:0015031; GO:0019905; GO:0030476; GO:0031966; GO:0042147; GO:0090156
P47144	853570	GO:0005623; GO:0006874; GO:0016021; GO:0055085; GO:0070316
Q12406	856146	GO:0005198; GO:0005634; GO:0006325; GO:0006337; GO:0006355; GO:0006368; GO:0016514; GO:0016586; GO:0042766; GO:0043044; GO:0045944
P13099	850935	GO:0000018; GO:0003677; GO:0003916; GO:0003917; GO:0005634; GO:0006265; GO:0007004; GO:0007064; GO:0007131; GO:0031422
